Date,Net Asset Value,Repurchase Price,Sale Price
21-03-2017,10.5028,10.4765,10.5028
22-03-2017,10.5509,10.5245,10.5509
23-03-2017,10.5607,10.5343,10.5607
24-03-2017,10.5552,10.5288,10.5552
27-03-2017,10.635,10.6084,10.635
29-03-2017,,10.5875,10.614
30-03-2017,10.6318,10.6052,10.6318
03-04-2017,10.6292,,10.6292
05-04-2017,10.6121,10.5856,10.6121
06-04-2017,10.5303,10.504,10.5303
07-04-2017,10.5054,10.4791,10.5054
10-04-2017,10.4993,10.4731,10.4993
11-04-2017,,10.5139,10.5403
12-04-2017,10.5514,10.525,10.5514
13-04-2017,10.5785,10.5521,10.5785
17-04-2017,10.5698,,
18-04-2017,10.5758,10.5494,10.5758
19-04-2017,10.6047,10.5782,10.6047
20-04-2017,10.6217,10.5951,10.6217
21-04-2017,10.6057,10.5792,10.6057
24-04-2017,10.6086,10.5821,10.6086
25-04-2017,10.6162,10.5897,10.6162
26-04-2017,10.6065,10.58,10.6065
27-04-2017,10.607,10.5805,10.607
28-04-2017,10.6028,10.5763,10.6028
02-05-2017,10.5856,10.5591,10.5856
03-05-2017,10.5804,10.5539,10.5804
04-05-2017,10.5789,10.5525,10.5789
05-05-2017,10.5957,10.5692,10.5957
08-05-2017,10.6134,10.5869,10.6134
09-05-2017,10.6063,10.5798,10.6063
11-05-2017,10.6152,10.5887,10.6152
12-05-2017,10.634,10.6074,10.634
15-05-2017,10.6792,10.6525,10.6792
16-05-2017,10.6566,10.63,10.6566
17-05-2017,10.6581,10.6315,10.6581
18-05-2017,10.6687,10.642,10.6687
19-05-2017,10.6736,10.6469,10.6736
22-05-2017,10.727,10.7002,10.727
23-05-2017,10.7361,10.7093,10.7361
24-05-2017,10.7432,10.7163,10.7432
25-05-2017,10.7696,10.7427,10.7696
26-05-2017,10.7623,10.7354,10.7623
29-05-2017,10.7595,10.7326,10.7595
30-05-2017,10.7558,10.7289,10.7558
31-05-2017,10.7609,10.734,10.7609
